id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGYBWTFTJJ2JA6NGFPGRTH2T,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:39.51446-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:39.51446-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:39.51446-05:00,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:39.51446-05:00,01JGYBVZ2RXRS3F5B58PPHNGEQ,2025-01-06T12:51:39.51446-05:00,true,2025-01-06T12:51:42.478266-05:00
01JGYBWTFTJJ2JA6NGG03KWQZM,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:39.514607-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:39.514607-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:39.514607-05:00,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:39.514607-05:00,01JGYBVZ2RXRS3F5B58PPHNGEQ,2025-01-06T12:51:39.514607-05:00,true,2025-01-06T12:51:45.867885-05:00
01JGYBX0Q4QGAJ3QN8X4Y1APWK,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:45.892205-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:45.892205-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:45.892205-05:00,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:45.892205-05:00,01JGYBVZ2RXRS3F5B59AQ5Y09E,2025-01-06T12:51:45.892205-05:00,true,2025-01-06T12:51:48.569908-05:00
01JGYBWESZYCE508DPYV1XKP99,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:27.551804-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:27.551804-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:27.551804-05:00,01JGYBVZ23F8C5TATPK0AAVN0K,2025-01-06T12:51:27.551804-05:00,01JGYBVZ2DXZB27GBHBKKC9KGF,2025-01-06T12:51:27.551804-05:00,true,2025-01-06T12:51:28.567125-05:00
01JGYBWESZYCE508DPZ7WAHSXK,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:27.551918-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:27.551918-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:27.551918-05:00,01JGYBVZ23F8C5TATPK0AAVN0K,2025-01-06T12:51:27.551918-05:00,01JGYBVZ2DXZB27GBHBKKC9KGF,2025-01-06T12:51:27.551918-05:00,true,2025-01-06T12:51:30.571326-05:00
01JGYBWHSCVZMCEQ7K3NT6CSQE,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:30.604918-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:30.604918-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:30.604918-05:00,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:30.604918-05:00,01JGYBVZ2JDYPMB96NB3K1V26T,2025-01-06T12:51:30.604918-05:00,true,2025-01-06T12:51:36.673305-05:00
01JGYBWQQT9PNCWJPZ4PREDDRC,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:36.698363-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:36.698363-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:36.698363-05:00,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:36.698363-05:00,01JGYBVZ2JDYPMB96NBNQG7TXD,2025-01-06T12:51:36.698363-05:00,true,2025-01-06T12:51:39.479604-05:00
01JGYBWQQT9PNCWJPZ5028WWDP,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:36.698513-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:36.698513-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:36.698513-05:00,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:36.698513-05:00,01JGYBVZ2JDYPMB96NBNQG7TXD,2025-01-06T12:51:36.698513-05:00,true,2025-01-06T12:51:37.84933-05:00
01JGYBX3BGYQVD8ZXRB7XGRR10,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:48.592736-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:48.592736-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:48.592736-05:00,01JGYBVZ253R7056PKQ126AG8V,2025-01-06T12:51:48.592736-05:00,01JGYBVZ2X4VJ9Y77RCRPZ4ER9,2025-01-06T12:51:48.592736-05:00,true,2025-01-06T12:51:49.284203-05:00
01JGYBX5PF4E2V6CEBS0Q6ZJKJ,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:50.991878-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:50.991878-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:50.991878-05:00,01JGYBVZ253R7056PKQ126AG8V,2025-01-06T12:51:50.991878-05:00,01JGYBVZ2X4VJ9Y77RD756FGQ8,2025-01-06T12:51:50.991878-05:00,true,2025-01-06T12:51:53.848493-05:00
