id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,offers,offersLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JGYBVZ2DXZB27GBHBKKC9KGF,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.437101-05:00,60,2025-01-06T12:51:11.437101-05:00,true,2025-01-06T12:51:30.581169-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.437101-05:00,1,2025-01-06T12:51:11.437101-05:00,true,2025-01-06T12:51:27.554403-05:00,result,2025-01-06T12:51:11.437101-05:00,,,01JGYBVZ23F8C5TATPK0AAVN0K,2025-01-06T12:51:11.437101-05:00,true,2025-01-06T12:51:27.548782-05:00,true,2025-01-06T12:51:27.559871-05:00,01JGYBVZ2B5D9RBE51S84HQH0B,2025-01-06T12:51:11.437101-05:00
01JGYBVZ2JDYPMB96NB3K1V26T,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.442793-05:00,3000,2025-01-06T12:51:11.442793-05:00,true,2025-01-06T12:51:36.687736-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.442793-05:00,0,2025-01-06T12:51:11.442793-05:00,true,2025-01-06T12:51:30.606252-05:00,bar,2025-01-06T12:51:11.442793-05:00,"{""NegotiatorA"":{""salary"":80001},""NegotiatorB"":{""salary"":100001}}",2025-01-06T12:51:36.67279-05:00,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:11.442793-05:00,true,2025-01-06T12:51:30.602107-05:00,true,2025-01-06T12:51:30.60913-05:00,01JGYBVZ2GXPEJSKES15ERXNDY,2025-01-06T12:51:11.442793-05:00
01JGYBVZ2X4VJ9Y77RCRPZ4ER9,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.453291-05:00,3000,2025-01-06T12:51:11.453291-05:00,true,2025-01-06T12:51:50.981385-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.453291-05:00,0,2025-01-06T12:51:11.453291-05:00,true,2025-01-06T12:51:48.594035-05:00,bar,2025-01-06T12:51:11.453291-05:00,,,01JGYBVZ253R7056PKQ126AG8V,2025-01-06T12:51:11.453291-05:00,true,2025-01-06T12:51:48.589915-05:00,true,2025-01-06T12:51:48.597034-05:00,01JGYBVZ2V3R51Q0S1PF0SQ3CK,2025-01-06T12:51:11.453291-05:00
01JGYBVZ31Q06PZYB6SVFEKRTA,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.457926-05:00,3000,2025-01-06T12:51:11.457926-05:00,true,2025-01-06T12:51:56.7964-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.457926-05:00,0,2025-01-06T12:51:11.457926-05:00,true,2025-01-06T12:51:53.883418-05:00,bar,2025-01-06T12:51:11.457926-05:00,,,01JGYBVZ26ETRDXCNN2YGZQB4G,2025-01-06T12:51:11.457926-05:00,true,2025-01-06T12:51:53.878455-05:00,true,2025-01-06T12:51:53.88603-05:00,01JGYBVZ2ZN89QK1K9T92PZ827,2025-01-06T12:51:11.457926-05:00
01JGYBVZ32KKYKSWSPKNZH5T5W,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.458039-05:00,60,2025-01-06T12:51:11.458039-05:00,true,2025-01-06T12:52:01.124432-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.458039-05:00,1,2025-01-06T12:51:11.458039-05:00,true,2025-01-06T12:51:56.808849-05:00,result,2025-01-06T12:51:11.458039-05:00,,,01JGYBVZ26ETRDXCNN2YGZQB4G,2025-01-06T12:51:11.458039-05:00,true,2025-01-06T12:51:56.802738-05:00,true,2025-01-06T12:51:56.812236-05:00,01JGYBVZ308NG5KJVVDV1EHK2M,2025-01-06T12:51:11.458039-05:00
01JGYBVZ2C5GDPVKGZJ7XZV3JB,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.437-05:00,3000,2025-01-06T12:51:11.437-05:00,true,2025-01-06T12:51:27.540531-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.437-05:00,0,2025-01-06T12:51:11.437-05:00,true,2025-01-06T12:51:11.524658-05:00,bar,2025-01-06T12:51:11.437-05:00,"{""NegotiatorA"":{""salary"":70000},""NegotiatorB"":{""salary"":100001}}",2025-01-06T12:51:27.526825-05:00,01JGYBVZ23F8C5TATPK0AAVN0K,2025-01-06T12:51:11.437-05:00,true,2025-01-06T12:51:11.518072-05:00,true,2025-01-06T12:51:11.526301-05:00,01JGYBVZ29QRGPDCX7RZNK9HMQ,2025-01-06T12:51:11.437-05:00
01JGYBVZ2JDYPMB96NBNQG7TXD,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.442883-05:00,60,2025-01-06T12:51:11.442883-05:00,true,2025-01-06T12:51:39.491673-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.442883-05:00,1,2025-01-06T12:51:11.442883-05:00,true,2025-01-06T12:51:36.700615-05:00,result,2025-01-06T12:51:11.442883-05:00,,,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:11.442883-05:00,true,2025-01-06T12:51:36.695137-05:00,true,2025-01-06T12:51:36.705231-05:00,01JGYBVZ2HETFCZ1W0RPB0YF6P,2025-01-06T12:51:11.442883-05:00
01JGYBVZ2RXRS3F5B58PPHNGEQ,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.448398-05:00,3000,2025-01-06T12:51:11.448398-05:00,true,2025-01-06T12:51:45.879188-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.448398-05:00,0,2025-01-06T12:51:11.448398-05:00,true,2025-01-06T12:51:39.516195-05:00,bar,2025-01-06T12:51:11.448398-05:00,"{""NegotiatorA"":{""salary"":90001},""NegotiatorB"":{""salary"":90001}}",2025-01-06T12:51:45.867401-05:00,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:11.448398-05:00,true,2025-01-06T12:51:39.510604-05:00,true,2025-01-06T12:51:39.519488-05:00,01JGYBVZ2PP16011FF2N7FHS7W,2025-01-06T12:51:11.448398-05:00
01JGYBVZ2RXRS3F5B59AQ5Y09E,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.448497-05:00,60,2025-01-06T12:51:11.448497-05:00,true,2025-01-06T12:51:48.574453-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.448497-05:00,1,2025-01-06T12:51:11.448497-05:00,true,2025-01-06T12:51:45.894454-05:00,result,2025-01-06T12:51:11.448497-05:00,,,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:11.448497-05:00,true,2025-01-06T12:51:45.887442-05:00,true,2025-01-06T12:51:45.899462-05:00,01JGYBVZ2Q4JB039BHEDK1BWFX,2025-01-06T12:51:11.448497-05:00
01JGYBVZ2X4VJ9Y77RD756FGQ8,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.453409-05:00,60,2025-01-06T12:51:11.453409-05:00,true,2025-01-06T12:51:53.857836-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.453409-05:00,1,2025-01-06T12:51:11.453409-05:00,true,2025-01-06T12:51:50.994599-05:00,result,2025-01-06T12:51:11.453409-05:00,,,01JGYBVZ253R7056PKQ126AG8V,2025-01-06T12:51:11.453409-05:00,true,2025-01-06T12:51:50.98832-05:00,true,2025-01-06T12:51:50.998966-05:00,01JGYBVZ2WN373TF453R6YAC5E,2025-01-06T12:51:11.453409-05:00
