id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,offers,offersLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JVN0WPEAV9EPGK1W19J0WJ8X,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.210765-04:00,120,2025-05-19T15:38:51.210765-04:00,true,2025-05-19T15:42:51.349643-04:00,,,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.210765-04:00,0,2025-05-19T15:38:51.210765-04:00,true,2025-05-19T15:40:51.334365-04:00,Negotiation,2025-05-19T15:38:51.210765-04:00,,,01JVN0WPDZKD4GGFR46GERS5M0,2025-05-19T15:38:51.210765-04:00,true,2025-05-19T15:40:51.329576-04:00,true,2025-05-19T15:40:51.338101-04:00,,,01JVN0WPE9RVT0GPQ4X9PA1P31,2025-05-19T15:38:51.210765-04:00
01JVN0WPEN26PPGGV1V7GDBHK5,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.221934-04:00,120,2025-05-19T15:38:51.221934-04:00,true,2025-05-19T15:48:36.205512-04:00,null,2025-05-19T15:48:36.205512-04:00,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.221934-04:00,0,2025-05-19T15:38:51.221934-04:00,true,2025-05-19T15:46:51.472596-04:00,Negotiation,2025-05-19T15:38:51.221934-04:00,"{""Hr"":{""salary"":null,""bonuses"":null,""stockOptions"":null,""vacationDays"":null},""Employee"":{""salary"":null,""bonuses"":null,""stockOptions"":null,""vacationDays"":null}}",2025-05-19T15:48:35.928727-04:00,01JVN0WPE0EKSND0V8741SZ21Y,2025-05-19T15:38:51.221934-04:00,true,2025-05-19T15:46:51.467228-04:00,true,2025-05-19T15:46:51.477162-04:00,null,2025-05-19T15:48:36.205512-04:00,01JVN0WPEMRCYAWCKYR2T16K61,2025-05-19T15:38:51.221934-04:00
01JVN0WPESJ7RE0JK14B6PMQJD,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.22521-04:00,120,2025-05-19T15:38:51.22521-04:00,true,2025-05-19T15:50:36.237185-04:00,,,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.22521-04:00,0,2025-05-19T15:38:51.22521-04:00,true,2025-05-19T15:48:36.222962-04:00,Negotiation,2025-05-19T15:38:51.22521-04:00,,,01JVN0WPE1GJT0R459BBRJKYR2,2025-05-19T15:38:51.22521-04:00,true,2025-05-19T15:48:36.220108-04:00,true,2025-05-19T15:48:36.226188-04:00,,,01JVN0WPER65GH4BCY7R4JDKGV,2025-05-19T15:38:51.22521-04:00
01JVN0H2EVW5X1GNJ0AAH36QAQ,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.299296-04:00,120,2025-05-19T15:32:30.299296-04:00,true,2025-05-19T15:34:30.391488-04:00,,,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.299296-04:00,0,2025-05-19T15:32:30.299296-04:00,true,2025-05-19T15:32:30.374675-04:00,Negotiation,2025-05-19T15:32:30.299296-04:00,,,01JVN0H2EJRGHSJNEKZXQ8164H,2025-05-19T15:32:30.299296-04:00,true,2025-05-19T15:32:30.369667-04:00,true,2025-05-19T15:32:30.376883-04:00,,,01JVN0H2ES9N3A6PAGKZZVNFHF,2025-05-19T15:32:30.299296-04:00
01JVN0H2F2G73WW0N6Y8M2099P,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.306508-04:00,120,2025-05-19T15:32:30.306508-04:00,true,2025-05-19T15:38:30.477286-04:00,,,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.306508-04:00,0,2025-05-19T15:32:30.306508-04:00,true,2025-05-19T15:36:30.464585-04:00,Negotiation,2025-05-19T15:32:30.306508-04:00,,,01JVN0H2EMHSS9DNJQPT1P8G3D,2025-05-19T15:32:30.306508-04:00,true,2025-05-19T15:36:30.459274-04:00,true,2025-05-19T15:36:30.469123-04:00,,,01JVN0H2F160668DD1XZBA83WW,2025-05-19T15:32:30.306508-04:00
01JVN0H2F60P373JX9HHFDDEC7,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.310219-04:00,120,2025-05-19T15:32:30.310219-04:00,true,2025-05-19T15:40:30.524646-04:00,,,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.310219-04:00,0,2025-05-19T15:32:30.310219-04:00,true,2025-05-19T15:38:30.50779-04:00,Negotiation,2025-05-19T15:32:30.310219-04:00,,,01JVN0H2EMHSS9DNJQQN2WT08M,2025-05-19T15:32:30.310219-04:00,true,2025-05-19T15:38:30.502387-04:00,true,2025-05-19T15:38:30.51231-04:00,,,01JVN0H2F5A9565WR7K6RY4P9G,2025-05-19T15:32:30.310219-04:00
01JVN0H2FBHDBH0E8ZYTH5Q69M,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.315731-04:00,120,2025-05-19T15:32:30.315731-04:00,true,2025-05-19T15:44:30.610389-04:00,,,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.315731-04:00,0,2025-05-19T15:32:30.315731-04:00,true,2025-05-19T15:42:30.596269-04:00,Negotiation,2025-05-19T15:32:30.315731-04:00,,,01JVN0H2EMHSS9DNJQRPCHB8JQ,2025-05-19T15:32:30.315731-04:00,true,2025-05-19T15:42:30.590675-04:00,true,2025-05-19T15:42:30.600632-04:00,,,01JVN0H2FAS4C3Z531K5ZTD5XC,2025-05-19T15:32:30.315731-04:00
01JVN0WPE68T5N1DQ21T9TFQ3N,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.206541-04:00,120,2025-05-19T15:38:51.206541-04:00,true,2025-05-19T15:40:51.306093-04:00,,,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.206541-04:00,0,2025-05-19T15:38:51.206541-04:00,true,2025-05-19T15:38:51.2863-04:00,Negotiation,2025-05-19T15:38:51.206541-04:00,,,01JVN0WPDY41WPN2B42CQR9M4A,2025-05-19T15:38:51.206541-04:00,true,2025-05-19T15:38:51.28124-04:00,true,2025-05-19T15:38:51.288433-04:00,,,01JVN0WPE4RE8WBWTKZRZ4ZTPF,2025-05-19T15:38:51.206541-04:00
01JVN0H2EY364PS1ES9ASQ0Y1H,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.302819-04:00,120,2025-05-19T15:32:30.302819-04:00,true,2025-05-19T15:36:30.437651-04:00,,,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.302819-04:00,0,2025-05-19T15:32:30.302819-04:00,true,2025-05-19T15:34:30.424818-04:00,Negotiation,2025-05-19T15:32:30.302819-04:00,,,01JVN0H2EMHSS9DNJQQ8SK6VMH,2025-05-19T15:32:30.302819-04:00,true,2025-05-19T15:34:30.418895-04:00,true,2025-05-19T15:34:30.429495-04:00,,,01JVN0H2EXBGRNFMPCWR66JFH1,2025-05-19T15:32:30.302819-04:00
01JVN0H2F8FEX9TNH522GTG68N,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:32:30.312803-04:00,120,2025-05-19T15:32:30.312803-04:00,true,2025-05-19T15:42:30.567978-04:00,,,01JVMZGYJYHNJ38YB871XB1K70,2025-05-19T15:32:30.312803-04:00,0,2025-05-19T15:32:30.312803-04:00,true,2025-05-19T15:40:30.555839-04:00,Negotiation,2025-05-19T15:32:30.312803-04:00,,,01JVN0H2EMHSS9DNJQR69RCRZY,2025-05-19T15:32:30.312803-04:00,true,2025-05-19T15:40:30.55058-04:00,true,2025-05-19T15:40:30.56005-04:00,,,01JVN0H2F7TQ8VY560CDVRYJYY,2025-05-19T15:32:30.312803-04:00
01JVN0WPEEAE462SXT46DXG2QX,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:38:51.214123-04:00,120,2025-05-19T15:38:51.214123-04:00,true,2025-05-19T15:44:51.394787-04:00,,,01JVN0HG6F9FV33B7XAJZQDTRH,2025-05-19T15:38:51.214123-04:00,0,2025-05-19T15:38:51.214123-04:00,true,2025-05-19T15:42:51.381233-04:00,Negotiation,2025-05-19T15:38:51.214123-04:00,,,01JVN0WPE0EKSND0V85WK3GEB9,2025-05-19T15:38:51.214123-04:00,true,2025-05-19T15:42:51.375874-04:00,true,2025-05-19T15:42:51.385572-04:00,,,01JVN0WPEDZEV3V9M4XGQ9YXY7,2025-05-19T15:38:51.214123-04:00
