id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JVN90W5G5MFSS0M4JE438AER,01JVN8Z88S67YAE05FDNQCM3KZ,2025-05-19T18:00:56.752305-04:00,120,2025-05-19T18:00:56.752305-04:00,true,2025-05-19T18:10:57.000279-04:00,01JVN8Z8970RRQBCQ4NHXCA40B,2025-05-19T18:00:56.752305-04:00,0,2025-05-19T18:00:56.752305-04:00,true,2025-05-19T18:08:56.989397-04:00,Negotiation,2025-05-19T18:00:56.752305-04:00,01JVN90W4VYWR9MG95M3F6335E,2025-05-19T18:00:56.752305-04:00,true,2025-05-19T18:08:56.983379-04:00,true,2025-05-19T18:08:56.993146-04:00,01JVN90W5FTFDGW4ZPZQH53JJG,2025-05-19T18:00:56.752305-04:00
01JVN90W5KYC3SN1C7G4G2BQEG,01JVN8Z88S67YAE05FDNQCM3KZ,2025-05-19T18:00:56.755455-04:00,120,2025-05-19T18:00:56.755455-04:00,true,2025-05-19T18:12:57.037413-04:00,01JVN8Z8970RRQBCQ4NHXCA40B,2025-05-19T18:00:56.755455-04:00,0,2025-05-19T18:00:56.755455-04:00,true,2025-05-19T18:10:57.026366-04:00,Negotiation,2025-05-19T18:00:56.755455-04:00,01JVN90W4W4BQ059HRSJAWDRR2,2025-05-19T18:00:56.755455-04:00,true,2025-05-19T18:10:57.020799-04:00,true,2025-05-19T18:10:57.030439-04:00,01JVN90W5JF962WNNN7KJK4134,2025-05-19T18:00:56.755455-04:00
01JVN8WMQ7NY7SKH0PWZ3Z0VD4,01JVN8VJ35PJD341YQ0J66MCYY,2025-05-19T17:58:38.055939-04:00,120,2025-05-19T17:58:38.055939-04:00,true,2025-05-19T18:00:38.14684-04:00,01JVN8VJ3PQ3S4BWSDKDQD5RHY,2025-05-19T17:58:38.055939-04:00,0,2025-05-19T17:58:38.055939-04:00,true,2025-05-19T17:58:38.138311-04:00,Negotiation,2025-05-19T17:58:38.055939-04:00,01JVN8WMPYA0GXED1W0GSY4XSY,2025-05-19T17:58:38.055939-04:00,true,2025-05-19T17:58:38.131685-04:00,true,2025-05-19T17:58:38.140503-04:00,01JVN8WMQ5VMTPT91CW173DN8D,2025-05-19T17:58:38.055939-04:00
01JVN8WMQMS2RXGWKNK6P1AYN1,01JVN8VJ35PJD341YQ0J66MCYY,2025-05-19T17:58:38.068497-04:00,120,2025-05-19T17:58:38.068497-04:00,true,2025-05-19T18:06:38.278015-04:00,01JVN8VJ3PQ3S4BWSDKDQD5RHY,2025-05-19T17:58:38.068497-04:00,0,2025-05-19T17:58:38.068497-04:00,true,2025-05-19T18:04:38.265813-04:00,Negotiation,2025-05-19T17:58:38.068497-04:00,01JVN8WMPZ5F3V8PXP0ZHETZ6W,2025-05-19T17:58:38.068497-04:00,true,2025-05-19T18:04:38.261455-04:00,true,2025-05-19T18:04:38.269624-04:00,01JVN8WMQKQ8FJABNS8D42Q50S,2025-05-19T17:58:38.068497-04:00
01JVN8WMQQ0WM6SWZ36NAE04VR,01JVN8VJ35PJD341YQ0J66MCYY,2025-05-19T17:58:38.07174-04:00,120,2025-05-19T17:58:38.07174-04:00,true,2025-05-19T18:08:38.324229-04:00,01JVN8VJ3PQ3S4BWSDKDQD5RHY,2025-05-19T17:58:38.07174-04:00,0,2025-05-19T17:58:38.07174-04:00,true,2025-05-19T18:06:38.309035-04:00,Negotiation,2025-05-19T17:58:38.07174-04:00,01JVN8WMPZ5F3V8PXP1T73PGM4,2025-05-19T17:58:38.07174-04:00,true,2025-05-19T18:06:38.303402-04:00,true,2025-05-19T18:06:38.312857-04:00,01JVN8WMQP10X8JPGEHWYQBDRT,2025-05-19T17:58:38.07174-04:00
01JVN8WMQVRHXV675MR14EFPPT,01JVN8VJ35PJD341YQ0J66MCYY,2025-05-19T17:58:38.075583-04:00,120,2025-05-19T17:58:38.075583-04:00,true,2025-05-19T18:10:38.368086-04:00,01JVN8VJ3PQ3S4BWSDKDQD5RHY,2025-05-19T17:58:38.075583-04:00,0,2025-05-19T17:58:38.075583-04:00,true,2025-05-19T18:08:38.35483-04:00,Negotiation,2025-05-19T17:58:38.075583-04:00,01JVN8WMQ093BY8H1JJR3J2Q29,2025-05-19T17:58:38.075583-04:00,true,2025-05-19T18:08:38.349016-04:00,true,2025-05-19T18:08:38.358975-04:00,01JVN8WMQT03Z785Q92KQA0XZX,2025-05-19T17:58:38.075583-04:00
01JVN90W51SY6PG2SCB5CAT2C0,01JVN8Z88S67YAE05FDNQCM3KZ,2025-05-19T18:00:56.737479-04:00,120,2025-05-19T18:00:56.737479-04:00,true,2025-05-19T18:02:56.829952-04:00,01JVN8Z8970RRQBCQ4NHXCA40B,2025-05-19T18:00:56.737479-04:00,0,2025-05-19T18:00:56.737479-04:00,true,2025-05-19T18:00:56.816646-04:00,Negotiation,2025-05-19T18:00:56.737479-04:00,01JVN90W4SWBHSP889KTFK4FB2,2025-05-19T18:00:56.737479-04:00,true,2025-05-19T18:00:56.811348-04:00,true,2025-05-19T18:00:56.818739-04:00,01JVN90W4ZE4DQJERJJ8H2NCND,2025-05-19T18:00:56.737479-04:00
01JVN8WMQC0B4GAYEFCHSV3AAB,01JVN8VJ35PJD341YQ0J66MCYY,2025-05-19T17:58:38.060269-04:00,120,2025-05-19T17:58:38.060269-04:00,true,2025-05-19T18:02:38.191849-04:00,01JVN8VJ3PQ3S4BWSDKDQD5RHY,2025-05-19T17:58:38.060269-04:00,0,2025-05-19T17:58:38.060269-04:00,true,2025-05-19T18:00:38.180521-04:00,Negotiation,2025-05-19T17:58:38.060269-04:00,01JVN8WMPYA0GXED1W1514HH5X,2025-05-19T17:58:38.060269-04:00,true,2025-05-19T18:00:38.174755-04:00,true,2025-05-19T18:00:38.184114-04:00,01JVN8WMQA2VW6HW5054T8BJ26,2025-05-19T17:58:38.060269-04:00
01JVN8WMQG62MFFSG46N6S24Z1,01JVN8VJ35PJD341YQ0J66MCYY,2025-05-19T17:58:38.064213-04:00,120,2025-05-19T17:58:38.064213-04:00,true,2025-05-19T18:04:38.237144-04:00,01JVN8VJ3PQ3S4BWSDKDQD5RHY,2025-05-19T17:58:38.064213-04:00,0,2025-05-19T17:58:38.064213-04:00,true,2025-05-19T18:02:38.223124-04:00,Negotiation,2025-05-19T17:58:38.064213-04:00,01JVN8WMPZ5F3V8PXP1DMYXM60,2025-05-19T17:58:38.064213-04:00,true,2025-05-19T18:02:38.217369-04:00,true,2025-05-19T18:02:38.227601-04:00,01JVN8WMQEVD2K2B42FGJ1VJYA,2025-05-19T17:58:38.064213-04:00
01JVN90W55CNF9X8Y3WFGDS5QB,01JVN8Z88S67YAE05FDNQCM3KZ,2025-05-19T18:00:56.741485-04:00,120,2025-05-19T18:00:56.741485-04:00,true,2025-05-19T18:04:56.872873-04:00,01JVN8Z8970RRQBCQ4NHXCA40B,2025-05-19T18:00:56.741485-04:00,0,2025-05-19T18:00:56.741485-04:00,true,2025-05-19T18:02:56.861316-04:00,Negotiation,2025-05-19T18:00:56.741485-04:00,01JVN90W4SWBHSP889MCZ50CM9,2025-05-19T18:00:56.741485-04:00,true,2025-05-19T18:02:56.856236-04:00,true,2025-05-19T18:02:56.865461-04:00,01JVN90W54501DAV2G7DBX67PQ,2025-05-19T18:00:56.741485-04:00
