id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JVNZ6VCF5RFVSJSAWZ3NYK8R,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.231534-04:00,true,2025-05-20T00:36:41.448012-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.231534-04:00,3,2025-05-20T00:28:41.231534-04:00,Round 4,2025-05-20T00:28:41.231534-04:00,1,2025-05-20T00:28:41.248106-04:00,true,2025-05-20T00:34:41.411076-04:00,bargaining,2025-05-20T00:28:41.231534-04:00
01JVNZ57Y500AABPX3XYWEGJ83,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.549478-04:00,true,2025-05-20T00:35:48.79424-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.549478-04:00,3,2025-05-20T00:27:48.549478-04:00,Round 4,2025-05-20T00:27:48.549478-04:00,1,2025-05-20T00:27:48.569357-04:00,true,2025-05-20T00:33:48.752803-04:00,bargaining,2025-05-20T00:27:48.549478-04:00
01JVNZ57Y6Q1QN6BS5QR2SQAH7,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.550827-04:00,true,2025-05-20T00:37:48.839606-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.550827-04:00,4,2025-05-20T00:27:48.550827-04:00,Round 5,2025-05-20T00:27:48.550827-04:00,1,2025-05-20T00:27:48.572373-04:00,true,2025-05-20T00:35:48.799999-04:00,bargaining,2025-05-20T00:27:48.550827-04:00
01JVNZ57Y7Y6DSCA97GVY8T5M2,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.551439-04:00,true,2025-05-20T00:39:48.887437-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.551439-04:00,5,2025-05-20T00:27:48.551439-04:00,Round 6,2025-05-20T00:27:48.551439-04:00,1,2025-05-20T00:27:48.575053-04:00,true,2025-05-20T00:37:48.845025-04:00,bargaining,2025-05-20T00:27:48.551439-04:00
01JVNZ6VCDJSWMA1WSNRN9M3FR,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.229186-04:00,true,2025-05-20T00:30:41.327402-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.229186-04:00,0,2025-05-20T00:28:41.229186-04:00,Round 1,2025-05-20T00:28:41.229186-04:00,1,2025-05-20T00:28:41.23775-04:00,true,2025-05-20T00:28:41.27456-04:00,bargaining,2025-05-20T00:28:41.229186-04:00
01JVNZ6VCF5RFVSJSAVG58SAVG,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.23121-04:00,true,2025-05-20T00:32:41.362906-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.23121-04:00,1,2025-05-20T00:28:41.23121-04:00,Round 2,2025-05-20T00:28:41.23121-04:00,1,2025-05-20T00:28:41.24151-04:00,true,2025-05-20T00:30:41.333352-04:00,bargaining,2025-05-20T00:28:41.23121-04:00
01JVNZ6VCF5RFVSJSAW01FRA3C,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.231363-04:00,true,2025-05-20T00:38:41.490595-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.231363-04:00,4,2025-05-20T00:28:41.231363-04:00,Round 5,2025-05-20T00:28:41.231363-04:00,1,2025-05-20T00:28:41.250933-04:00,true,2025-05-20T00:36:41.453098-04:00,bargaining,2025-05-20T00:28:41.231363-04:00
01JVNZ6VCF5RFVSJSAWFPSGAV9,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.231451-04:00,true,2025-05-20T00:40:41.530671-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.231451-04:00,5,2025-05-20T00:28:41.231451-04:00,Round 6,2025-05-20T00:28:41.231451-04:00,1,2025-05-20T00:28:41.25347-04:00,true,2025-05-20T00:38:41.495186-04:00,bargaining,2025-05-20T00:28:41.231451-04:00
01JVNZ57Y351ZHDS5XH088H2JT,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.547897-04:00,true,2025-05-20T00:29:48.656187-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.547897-04:00,0,2025-05-20T00:27:48.547897-04:00,Round 1,2025-05-20T00:27:48.547897-04:00,1,2025-05-20T00:27:48.557969-04:00,true,2025-05-20T00:27:48.596488-04:00,bargaining,2025-05-20T00:27:48.547897-04:00
01JVNZ57Y42KAQPN377JZN49AF,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.548654-04:00,true,2025-05-20T00:31:48.702301-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.548654-04:00,1,2025-05-20T00:27:48.548654-04:00,Round 2,2025-05-20T00:27:48.548654-04:00,1,2025-05-20T00:27:48.56211-04:00,true,2025-05-20T00:29:48.663165-04:00,bargaining,2025-05-20T00:27:48.548654-04:00
